Merge Sort,
Tamaño, Tiempo,
8000, 2,
8010, 2,
8020, 1,
8030, 1,
8040, 2,
8050, 4,
8060, 2,
8070, 2,
8080, 2,
8090, 2,
8100, 1,
8110, 2,
8120, 2,
8130, 2,
8140, 2,
8150, 2,
8160, 1,
8170, 1,
8180, 2,
8190, 2,
8200, 2,
8210, 2,
8220, 1,
8230, 1,
8240, 2,
8250, 2,
8260, 2,
8270, 2,
8280, 2,
8290, 1,
8300, 2,
8310, 2,
8320, 2,
8330, 2,
8340, 2,
8350, 2,
8360, 2,
8370, 3,
8380, 2,
8390, 2,
8400, 2,
8410, 2,
8420, 1,
8430, 1,
8440, 1,
8450, 2,
8460, 2,
8470, 2,
8480, 2,
8490, 2,
8500, 2,
8510, 2,
8520, 2,
8530, 2,
8540, 2,
8550, 1,
8560, 1,
8570, 2,
8580, 2,
8590, 2,
8600, 2,
8610, 2,
8620, 2,
8630, 2,
8640, 2,
8650, 2,
8660, 2,
8670, 2,
8680, 3,
8690, 2,
8700, 2,
8710, 2,
8720, 2,
8730, 2,
8740, 1,
8750, 1,
8760, 1,
8770, 2,
8780, 1,
8790, 2,
8800, 2,
8810, 2,
8820, 1,
8830, 2,
8840, 2,
8850, 2,
8860, 2,
8870, 2,
8880, 2,
8890, 2,
8900, 2,
8910, 2,
8920, 2,
8930, 2,
8940, 2,
8950, 2,
8960, 2,
8970, 2,
8980, 3,
8990, 2,
9000, 2,
9010, 2,
9020, 2,
9030, 2,
9040, 2,
9050, 2,
9060, 2,
9070, 2,
9080, 2,
9090, 2,
9100, 2,
9110, 1,
9120, 2,
9130, 2,
9140, 2,
9150, 2,
9160, 2,
9170, 2,
9180, 2,
9190, 2,
9200, 2,
9210, 2,
9220, 2,
9230, 2,
9240, 2,
9250, 3,
9260, 2,
9270, 4,
9280, 2,
9290, 2,
9300, 2,
9310, 2,
9320, 2,
9330, 2,
9340, 2,
9350, 2,
9360, 2,
9370, 2,
9380, 2,
9390, 2,
9400, 3,
9410, 2,
9420, 2,
9430, 2,
9440, 2,
9450, 2,
9460, 2,
9470, 2,
9480, 2,
9490, 2,
9500, 2,
9510, 2,
9520, 2,
9530, 2,
9540, 2,
9550, 2,
9560, 2,
9570, 2,
9580, 2,
9590, 3,
9600, 2,
9610, 2,
9620, 2,
9630, 2,
9640, 2,
9650, 3,
9660, 2,
9670, 2,
9680, 2,
9690, 2,
9700, 3,
9710, 2,
9720, 2,
9730, 2,
9740, 2,
9750, 2,
9760, 2,
9770, 2,
9780, 2,
9790, 3,
9800, 2,
9810, 4,
9820, 2,
9830, 3,
9840, 2,
9850, 2,
9860, 3,
9870, 2,
9880, 2,
9890, 2,
9900, 2,
9910, 2,
9920, 2,
9930, 3,
9940, 2,
9950, 2,
9960, 3,
9970, 2,
9980, 2,
9990, 2,
10000, 2,

Hanoi,
Discos,Tiempo
1, 0,
2, 1,
3, 0,
4, 0,
5, 0,
6, 0,
7, 1,
8, 1,
9, 1,
10, 4,
11, 0,
12, 1,
13, 1,
14, 2,
15, 6,
16, 6,
17, 17,
18, 18,
19, 13,
20, 24,
21, 30,
22, 62,
23, 130,
24, 181,
25, 371,
26, 599,
27, 1493,
28, 2424,
29, 6034,
30, 9606,

Tamaño,Strassen,Multiplicación Típica
2,0,0,
4,0,0,
8,1,0,
16,3,1,
32,12,1,
64,16,2,
128,91,6,
256,520,12,
512,4019,127,
1024,29951,1423,
2048,238233,26048,

Tamaño,Strassen (Valores <= 100),Multiplicación Típica
2,0,0,
4,0,0,
8,0,0,
16,0,0,
32,0,2,
64,0,3,
128,1,6,
256,11,12,
512,15,119,
1024,60,1662,
2048,289,28388,

Binary Search,
Tamaño, Tiempo,
1000, 11,
2000, 1,
3000, 1,
4000, 1,
5000, 1,
6000, 1,
7000, 2,
8000, 1,
9000, 2,
10000, 2,
11000, 3,
12000, 13,
13000, 2,
14000, 2,
15000, 1,
16000, 1,
17000, 1,
18000, 2,
19000, 2,
20000, 2,
21000, 2,
22000, 5,
23000, 1,
24000, 1,
25000, 1,
26000, 1,
27000, 1,
28000, 1,
29000, 1,
30000, 2,
31000, 3,
32000, 3,
33000, 4,
34000, 5,
35000, 1,
36000, 1,
37000, 2,
38000, 2,
39000, 2,
40000, 2,
41000, 3,
42000, 3,
43000, 4,
44000, 2,
45000, 1,
46000, 2,
47000, 2,
48000, 1,
49000, 2,
50000, 4,
51000, 2,
52000, 1,
53000, 2,
54000, 2,
55000, 1,
56000, 7,
57000, 5,
58000, 4,
59000, 2,
60000, 2,
61000, 2,
62000, 2,
63000, 4,
64000, 2,
65000, 3,
66000, 2,
67000, 2,
68000, 2,
69000, 5,
70000, 3,
71000, 2,
72000, 3,
73000, 3,
74000, 6,
75000, 3,
76000, 2,
77000, 2,
78000, 2,
79000, 7,
80000, 8,
81000, 6,
82000, 3,
83000, 3,
84000, 3,
85000, 6,
86000, 5,
87000, 3,
88000, 3,
89000, 4,
90000, 3,
91000, 4,
92000, 3,
93000, 3,
94000, 3,
95000, 3,
96000, 6,
97000, 3,
98000, 3,
99000, 3,
100000, 3,
